Date,Open,High,Low,Close,Adj Close,Volume
2018-08-03,6.180000,7.310000,6.160000,7.050000,7.050000,32189100
2018-08-06,6.920000,7.000000,6.560000,6.680000,6.680000,11149900
2018-08-07,6.680000,6.880000,6.480000,6.630000,6.630000,4679600
2018-08-08,6.640000,6.690000,6.440000,6.470000,6.470000,2378700
2018-08-09,6.530000,6.530000,6.130000,6.170000,6.170000,3829100
2018-08-10,6.130000,6.170000,5.950000,5.960000,5.960000,3811900
2018-08-13,5.960000,6.180000,5.920000,6.100000,6.100000,3583300
2018-08-14,6.120000,6.210000,5.961000,6.070000,6.070000,2813000
2018-08-15,5.960000,6.000000,5.780000,5.830000,5.830000,3473500
2018-08-16,5.860000,6.110000,5.810000,6.010000,6.010000,3060000
2018-08-17,6.000000,6.260000,5.870000,6.200000,6.200000,3082200
2018-08-20,6.230000,6.420000,6.200000,6.410000,6.410000,1943900
2018-08-21,6.440000,6.600000,6.370000,6.560000,6.560000,2928100
2018-08-22,6.540000,6.630000,6.360000,6.420000,6.420000,2005300
2018-08-23,6.430000,6.470000,6.335000,6.370000,6.370000,1258700
2018-08-24,6.360000,6.480000,6.260000,6.420000,6.420000,2268300
2018-08-27,6.440000,6.510000,6.320000,6.380000,6.380000,1847400
2018-08-28,6.390000,6.450000,6.200000,6.210000,6.210000,2005900
2018-08-29,6.180000,6.300000,6.110000,6.270000,6.270000,1310800
2018-08-30,6.320000,6.370000,6.220000,6.270000,6.270000,1465800
2018-08-31,6.250000,6.410000,6.160000,6.410000,6.410000,1522700
2018-09-04,6.330000,6.440000,6.240000,6.410000,6.410000,1621400
2018-09-05,6.350000,6.520000,6.300000,6.460000,6.460000,1977700
2018-09-06,6.460000,6.630000,6.460000,6.630000,6.630000,2824600
2018-09-07,6.560000,6.760000,6.380000,6.430000,6.430000,2551200
2018-09-10,6.430000,6.460000,6.280000,6.300000,6.300000,1991100
2018-09-11,6.240000,6.400000,6.187000,6.390000,6.390000,1673500
2018-09-12,6.410000,6.570000,6.275000,6.350000,6.350000,2203400
2018-09-13,6.360000,6.490000,6.350000,6.400000,6.400000,1110700
2018-09-14,6.380000,6.390000,6.050000,6.210000,6.210000,2886600
2018-09-17,6.310000,6.420000,6.130000,6.380000,6.380000,2665300
2018-09-18,6.380000,6.570000,6.320000,6.410000,6.410000,2929400
2018-09-19,6.360000,6.450000,6.140000,6.330000,6.330000,3952400
2018-09-20,6.350000,6.630000,6.330000,6.510000,6.510000,4802000
2018-09-21,6.500000,6.500000,6.280000,6.460000,6.460000,3945600
2018-09-24,6.420000,6.560000,6.360000,6.370000,6.370000,1758200
2018-09-25,6.400000,6.640000,6.330000,6.620000,6.620000,3893700
2018-09-26,7.260000,7.600000,6.780000,6.920000,6.920000,36780500
2018-09-27,7.010000,7.490000,7.010000,7.260000,7.260000,9882600
2018-09-28,7.200000,7.350000,7.100000,7.200000,7.200000,4843400
2018-10-01,7.400000,7.468000,7.210000,7.280000,7.280000,3950100
2018-10-02,7.220000,7.450000,7.110000,7.330000,7.330000,5893300
2018-10-03,7.300000,7.465000,6.650000,6.670000,6.670000,7233900
2018-10-04,6.800000,6.860000,6.260000,6.260000,6.260000,7175600
2018-10-05,6.550000,6.670000,6.120000,6.260000,6.260000,7705900
2018-10-08,6.210000,6.500000,6.150000,6.360000,6.360000,4400200
2018-10-09,6.310000,6.510000,6.080000,6.090000,6.090000,3782900
2018-10-10,6.120000,6.150000,5.770000,5.860000,5.860000,7380600
2018-10-11,5.810000,6.240000,5.800000,6.190000,6.190000,7132100
2018-10-12,6.260000,6.480000,6.220000,6.470000,6.470000,4840800
2018-10-15,6.470000,6.790000,6.330000,6.740000,6.740000,4682900
2018-10-16,6.730000,6.950000,6.690000,6.950000,6.950000,4255100
2018-10-17,6.880000,6.900000,6.670000,6.810000,6.810000,2480000
2018-10-18,6.880000,7.030000,6.705000,6.720000,6.720000,3307300
2018-10-19,6.720000,6.880000,6.560000,6.650000,6.650000,2181800
2018-10-22,6.640000,6.760000,6.580000,6.620000,6.620000,1779700
2018-10-23,6.410000,6.910000,6.380000,6.780000,6.780000,3218900
2018-10-24,6.770000,6.780000,6.000000,6.010000,6.010000,4314700
2018-10-25,6.170000,6.230000,6.050000,6.130000,6.130000,3215500
2018-10-26,6.050000,6.248000,5.785000,6.110000,6.110000,4913000
2018-10-29,6.020000,6.320000,5.880000,6.000000,6.000000,5175300
2018-10-30,6.000000,6.350000,5.940000,6.320000,6.320000,3354400
2018-10-31,6.400000,6.660000,6.350000,6.570000,6.570000,4120000
2018-11-01,6.660000,7.200000,6.645000,7.180000,7.180000,9312300
2018-11-02,6.200000,6.250000,5.350000,5.440000,5.440000,26839400
2018-11-05,5.480000,5.710000,5.170000,5.570000,5.570000,9527400
2018-11-06,5.520000,5.700000,5.460000,5.660000,5.660000,6254400
2018-11-07,5.660000,5.945000,5.620000,5.750000,5.750000,6067600
2018-11-08,5.700000,5.725000,5.400000,5.470000,5.470000,3987300
2018-11-09,5.470000,5.600000,5.410000,5.510000,5.510000,2965300
2018-11-12,5.450000,5.630000,5.350000,5.460000,5.460000,3122900
2018-11-13,5.500000,5.590000,5.310000,5.340000,5.340000,2751000
2018-11-14,5.560000,5.570000,5.330000,5.360000,5.360000,3407900
2018-11-15,5.320000,5.470000,5.230000,5.430000,5.430000,2926100
2018-11-16,5.360000,5.550000,5.280000,5.520000,5.520000,3538100
2018-11-19,5.490000,5.550000,5.380000,5.400000,5.400000,2225000
2018-11-20,5.270000,5.380000,5.200000,5.240000,5.240000,3559600
2018-11-21,5.300000,5.470000,5.300000,5.320000,5.320000,3006000
2018-11-23,5.310000,5.340000,5.080000,5.130000,5.130000,2161800
2018-11-26,5.260000,5.290000,5.150000,5.290000,5.290000,2517600
2018-11-27,5.250000,5.420000,5.250000,5.320000,5.320000,2287200
2018-11-28,5.300000,5.460000,5.190000,5.430000,5.430000,2415900
2018-11-29,5.360000,5.460000,5.230000,5.330000,5.330000,2307700
2018-11-30,5.320000,5.450000,5.010000,5.080000,5.080000,5506700
2018-12-03,5.170000,5.250000,5.120000,5.200000,5.200000,4254700
2018-12-04,5.160000,5.250000,4.990000,5.030000,5.030000,3346600
2018-12-06,5.000000,5.190000,4.970000,5.180000,5.180000,3341400
2018-12-07,5.150000,5.170000,4.920000,4.970000,4.970000,3287700
2018-12-10,4.990000,5.030000,4.760000,4.920000,4.920000,2658400
2018-12-11,5.000000,5.010000,4.800000,4.910000,4.910000,2108900
2018-12-12,4.930000,5.100000,4.900000,4.900000,4.900000,2891800
2018-12-13,4.880000,5.000000,4.760000,4.790000,4.790000,2667700
2018-12-14,4.770000,4.900000,4.650000,4.700000,4.700000,2829700
2018-12-17,4.550000,4.815000,4.510000,4.570000,4.570000,4035500
2018-12-18,4.630000,4.750000,4.610000,4.630000,4.630000,3517800
2018-12-19,4.650000,4.875000,4.530000,4.590000,4.590000,2847000
2018-12-20,4.530000,4.630000,4.220000,4.280000,4.280000,3722500
2018-12-21,4.300000,4.410000,4.000000,4.130000,4.130000,5074300
2018-12-24,4.000000,4.200000,4.000000,4.040000,4.040000,1893600
2018-12-26,4.040000,4.270000,4.000000,4.220000,4.220000,4124100
2018-12-27,4.160000,4.440000,4.120000,4.380000,4.380000,4142200
2018-12-28,4.430000,4.489000,4.250000,4.310000,4.310000,3435600
2018-12-31,4.320000,4.360000,4.200000,4.240000,4.240000,3797800
